Job Role,Skills,Experience,Location
Associate Process Consultant,SAP S/4HANA Project Systems-2,7 - 12 Years,NOIDA
Tech Lead,oracle retail merchandising system functional,5 - 7 Years,BENGALURU
Sr. Oracle DBA-Navi Mumbai Belapur location,Oracle 12c Database Administration,4 - 7 Years,MUMBAI
Sr. Engineer,Automotive Product Engineering Design,3 - 12 Years,PUNE
Associate Team Lead,"Oracle PaaS Technical with ICS,PCS,VBCS",7 - 8 Years,HYDERABAD
QA Analyst 1,.NET Core,4 - 12 Years,TOKYO
Associate UI,UI Design,4 - 10 Years,CHENNAI
Salesforce Developer - Financial Services Cloud,"FSC,Salesforce Apex Programming,financial services cloud",5 - 10 Years,HYDERABAD
Cloud Transformation Architect,"Transformation,Cloud Solution Designing",18 - 25 Years,HYDERABAD
Associate Business Consultant,SAP BW/4 HANA Development,5 - 15 Years,HYDERABAD
Engineer,CAD modelling &amp;amp;amp; Drafting,1 - 10 Years,CHENNAI
Oracle Functional Consultant,Oracle Global Human Resources Cloud,5 - 10 Years,BENGALURU
