Title,Location,Description,Experience,Skills
Python Full Stack,"CHENNAI, INFOSYS LIMITED",,Work Experience of 5 Years to 9 Years,"Technology->OpenSystem->Python - OpenSystem->Python,Technology->Full stack->Java Full stack->Frontend(Angular)+Enterprise layer(Python)+DB"
Java Fullstack Lead,"BANGALORE, INFOSYS LIMITED",,Work Experience of 5 Years to 8 Years,"Technology->Full stack->Java Full stack,Technology->Java->Java - ALL,Technology->Reactive Programming->react JS"
React Fast API,"BANGALORE, INFOSYS LIMITED",,Work Experience of 3 Years to 5 Years,Technology->Reactive Programming->react JS
Python Full Stack Developer,"BANGALORE, INFOSYS LIMITED",,Work Experience of 3 Years to 5 Years,"Technology->Artificial Intelligence->Artificial Intelligence - ALL,Technology->Cloud Platform->AWS AI/ML,Technology->IOT Platform->AWS IOT,Technology->Machine Learning->Python"
Java Full Stack Developer,"BANGALORE, INFOSYS LIMITED",,Work Experience of 3 Years to 5 Years,"Technology->Java->Core Java,Technology->Reactive Programming->react JS,Technology->UI & Markup Language->Angular JS/Angular 1.x->Angular 2"
Computer Vision Engineer,"BANGALORE, INFOSYS LIMITED",,Work Experience of 5 Years to 7 Years,"Technology->Artificial Intelligence->Computer Vision,Technology->Artificial Intelligence->Artificial Intelligence - ALL,Technology->Machine Learning->Python"
GenAI Python Lead,"PUNE , INFOSYS LIMITED",,Work Experience of 5 Years to 9 Years,"Technology->Machine Learning->Generative AI,Technology->OpenSystem->Python - OpenSystem->Python"
React Fast API,"BANGALORE, INFOSYS LIMITED",,Work Experience of 5 Years to 9 Years,Technology->Reactive Programming->react JS
Python Full Stack Developer,"BANGALORE, INFOSYS LIMITED",,Work Experience of 4 Years to 9 Years,"Technology->Artificial Intelligence->Artificial Intelligence - ALL,Technology->Cloud Platform->Amazon Webservices DevOps->AWS DevOps,Technology->Machine Learning->Generative AI,Technology->Machine Learning->Python,Technology->Machine Learning->Responsible AI,Technology->Open System->Open System- ALL->Python"
Java Full Stack Developer,"BANGALORE, INFOSYS LIMITED",,Work Experience of 5 Years to 9 Years,"Technology->Java->Core Java,Technology->Reactive Programming->react JS,Technology->UI & Markup Language->Angular X (2, 4, 5, 6, 7,8,9)->Angular 4"
